modelo,accuracy,precision,recall,f1_score,roc_auc
Autoencoder,0.788547401556367,0.06425737637392416,0.11939577039274925,0.08354944187619799,0.4792288985763736
Isolation Forest,0.8438,0.06125,0.056976744186046514,0.05903614457831325,0.45904635896392043
LOF,0.8576,0.0925,0.09585492227979274,0.09414758269720101,0.5050830879661135
Self-Training,0.9193047493618197,0.75,0.0006042296072507553,0.0012074864157778226,0.709237437897466
Label Spreading,0.869,0.09523809523809523,0.075,0.08391608391608392,0.5348369565217391
